epoch,accuracy,learning_rate,loss,top5_acc,val_accuracy,val_loss,val_top5_acc
0,0.01838497817516327,0.0010000000474974513,6.299322128295898,0.06415107846260071,0.11761556565761566,4.712785243988037,0.35516688227653503
1,0.1482221931219101,0.0010000000474974513,4.467854022979736,0.406504362821579,0.4303051829338074,3.3068249225616455,0.7622702121734619
2,0.3506711423397064,0.0010000000474974513,3.492549180984497,0.6931672096252441,0.6673210859298706,2.5052175521850586,0.9063001871109009
3,0.5228116512298584,0.0010000000474974513,2.8946595191955566,0.8354990482330322,0.7799392938613892,2.1001110076904297,0.9539532661437988
4,0.6345494985580444,0.0010000000474974513,2.52250337600708,0.9020062685012817,0.8490094542503357,1.860849380493164,0.9767981171607971
5,0.7120519876480103,0.0010000000474974513,2.290839910507202,0.9324218034744263,0.8823844194412231,1.7252671718597412,0.9842941164970398
6,0.7657075524330139,0.0010000000474974513,2.112579345703125,0.9513422846794128,0.9089773297309875,1.6284645795822144,0.9873282313346863
7,0.8020848035812378,0.0010000000474974513,1.990488052368164,0.9650864005088806,0.9202213287353516,1.5724700689315796,0.990362286567688
8,0.8325717449188232,0.0010000000474974513,1.8970296382904053,0.9733685851097107,0.9346778392791748,1.5071451663970947,0.9933964014053345
9,0.8555976152420044,0.0010000000474974513,1.8140919208526611,0.9804726839065552,0.9489558935165405,1.4571905136108398,0.9939318299293518
10,0.8733757138252258,0.0010000000474974513,1.7585679292678833,0.982935905456543,0.9502052664756775,1.4561834335327148,0.995181143283844
11,0.88947594165802,0.0010000000474974513,1.7042855024337769,0.9872554540634155,0.9603783488273621,1.4102046489715576,0.9969658851623535
12,0.9002570509910583,0.0010000000474974513,1.6641079187393188,0.9895759224891663,0.9601998925209045,1.3843282461166382,0.9973228573799133
13,0.9097529649734497,0.0010000000474974513,1.6282265186309814,0.9911823272705078,0.9693021774291992,1.3591843843460083,0.9978582859039307
14,0.9182136058807373,0.0010000000474974513,1.5997205972671509,0.9931814670562744,0.9719793200492859,1.338658094406128,0.9978582859039307
